table_name,original,perturbed,all_columns,method,timestamp
UK_CSV0000000000006676__12,Hip Replacement OHS Post-Op Q Predicted,hip _replacement _o_h_s _post-_op _q _predicted,"Post-Op Q Urine,Hip Replacement Post-Op Q Transport,Hip Replacement Post-Op Q Limping,Post-Op Q Mobility,Pre-Op Q Living Arrangements",llm,2025-11-17T05:53:10.847925
UK_CSV0000000000006676__12,Pre-Op Q EQ5D Index Profile,pre-_op _q _e_q5_d _index _profile,"Post-Op Q Urine,Hip Replacement Post-Op Q Transport,Hip Replacement Post-Op Q Limping,Post-Op Q Mobility,Pre-Op Q Living Arrangements",llm,2025-11-17T05:53:11.847107
UK_CSV0000000000006676__12,Hip Replacement Post-Op Q Transport,hip _replacement _post-_op _q _transport,"Post-Op Q Urine,Hip Replacement Post-Op Q Transport,Hip Replacement Post-Op Q Limping,Post-Op Q Mobility,Pre-Op Q Living Arrangements",llm,2025-11-17T05:53:12.847720
SG_CSV0000000000001714__40,yearbornin_1_slice1,YEARBORNIN_1_SLICE1,"country,q20_q214,yearbornin_1_slice1,hhi,ban_q18_q192",llm,2025-11-17T05:53:13.845216
SG_CSV0000000000001714__40,hhi,hhi,"country,q20_q214,yearbornin_1_slice1,hhi,ban_q18_q192",llm,2025-11-17T05:53:14.849203
SG_CSV0000000000001714__40,q20_q214,Q20_Q214,"country,q20_q214,yearbornin_1_slice1,hhi,ban_q18_q192",llm,2025-11-17T05:53:15.849173
SG_CSV0000000000001714__29,occstatus,occstatus,"ageofrespondent,livinginsg_2_slice,respondent_serial,ban_no_ofchildren,ban_occupation_status4",llm,2025-11-17T05:53:16.848097
SG_CSV0000000000001714__29,sliderliberty_1_slice,slider,"ageofrespondent,livinginsg_2_slice,respondent_serial,ban_no_ofchildren,ban_occupation_status4",llm,2025-11-17T05:53:17.849677
SG_CSV0000000000001714__29,ban_occupation_status4,ban_oc,"ageofrespondent,livinginsg_2_slice,respondent_serial,ban_no_ofchildren,ban_occupation_status4",llm,2025-11-17T05:53:18.864384
UK_CSV0000000000000425__18,iPlayerStartupDelayPeak,iPlaye,"Nation,isp_wghts,NetflixSDPeak,iPlayerStartupDelayPeak,Download - 24 min(ave)",llm,2025-11-17T05:53:19.851823
UK_CSV0000000000000425__18,Web loading - 24h,Web loading - 24h,"Nation,isp_wghts,NetflixSDPeak,iPlayerStartupDelayPeak,Download - 24 min(ave)",llm,2025-11-17T05:53:20.853164
UK_CSV0000000000000425__18,Download - peak min(ave),Downlo,"Nation,isp_wghts,NetflixSDPeak,iPlayerStartupDelayPeak,Download - 24 min(ave)",llm,2025-11-17T05:53:21.853400
UK_CSV0000000000002183__16,Download - 23pm-00midnight,download - 23pm-00midnight,"Upload - 24 max (ave),Download - 24 min(ave),NetflixFailed24hr,Download - 21-22pm,rural_weight",llm,2025-11-17T05:53:22.853643
UK_CSV0000000000002183__16,Country,country,"Upload - 24 max (ave),Download - 24 min(ave),NetflixFailed24hr,Download - 21-22pm,rural_weight",llm,2025-11-17T05:53:23.855658
UK_CSV0000000000002183__16,Download - 24 min(ave),Download - 24 min(ave),"Upload - 24 max (ave),Download - 24 min(ave),NetflixFailed24hr,Download - 21-22pm,rural_weight",llm,2025-11-17T05:53:24.856289
UK_CSV0000000000002183__24,Region,Region,"rural_weight,MarketClass,Upload - 24 min(ave),YouTubeHD24hr,Geography",llm,2025-11-17T05:53:25.856310
UK_CSV0000000000002183__24,MarketClass,Market,"rural_weight,MarketClass,Upload - 24 min(ave),YouTubeHD24hr,Geography",llm,2025-11-17T05:53:26.855401
UK_CSV0000000000002183__24,Download - 19-20pm,download - 19-20pm,"rural_weight,MarketClass,Upload - 24 min(ave),YouTubeHD24hr,Geography",llm,2025-11-17T05:53:27.856790
SG_CSV0000000000001000,article_id,ARTICLE_ID,"newspaper_title,issue_id,issue_date,edition,page_id",llm,2025-11-17T05:53:28.861124
SG_CSV0000000000001000,page_id,page_i,"newspaper_title,issue_id,issue_date,edition,page_id",llm,2025-11-17T05:53:29.858064
SG_CSV0000000000001000,issue_id,ISSUE_ID,"newspaper_title,issue_id,issue_date,edition,page_id",llm,2025-11-17T05:53:30.892081
UK_CSV0000000000002183,unit_id,unit-id,"unit_id,ISP,Technology,PACKAGE (download by upload),MarketClass",llm,2025-11-17T05:53:31.857711
UK_CSV0000000000002183,Download - 23pm-00midnight,Download - 23pm-00midnight,"unit_id,ISP,Technology,PACKAGE (download by upload),MarketClass",llm,2025-11-17T05:53:32.859766
UK_CSV0000000000002183,Region,Region,"unit_id,ISP,Technology,PACKAGE (download by upload),MarketClass",llm,2025-11-17T05:53:33.861752
UK_CSV0000000000005854__6,% with accommodation status recorded,% WITH ACCOMMODATION STATUS RECORDED,"% duplicate clusters,Reviews with rare transition,Reporting_Level,CPA reviews,People within review period",llm,2025-11-17T05:53:34.859987
UK_CSV0000000000005854__6,People with accommodation status recorded,people with accommodation status recorded,"% duplicate clusters,Reviews with rare transition,Reporting_Level,CPA reviews,People within review period",llm,2025-11-17T05:53:35.863721
UK_CSV0000000000005854__6,CCG Name,cCG Name,"% duplicate clusters,Reviews with rare transition,Reporting_Level,CPA reviews,People within review period",llm,2025-11-17T05:53:36.859494
UK_CSV0000000000002010__10,Provider Code,Provid,"Knee Replacement Pre-Op Q Kneeling,Knee Replacement Pre-Op Q Shopping,Pre-Op Q Symptom Period,Knee Replacement Post-Op Q Score,Kidney Disease",llm,2025-11-17T05:53:37.862721
UK_CSV0000000000002010__10,Knee Replacement Post-Op Q Confidence,Knee R,"Knee Replacement Pre-Op Q Kneeling,Knee Replacement Pre-Op Q Shopping,Pre-Op Q Symptom Period,Knee Replacement Post-Op Q Score,Kidney Disease",llm,2025-11-17T05:53:38.866910
UK_CSV0000000000002010__10,Kidney Disease,kidney _disease,"Knee Replacement Pre-Op Q Kneeling,Knee Replacement Pre-Op Q Shopping,Pre-Op Q Symptom Period,Knee Replacement Post-Op Q Score,Kidney Disease",llm,2025-11-17T05:53:39.865865
UK_CSV0000000000002476,AphiaId,AphiaI,"RecordKey,SurveyKey,SurveyName,SampleKey,StartDate",llm,2025-11-17T05:53:40.864732
UK_CSV0000000000002476,LocationName,LocaName,"RecordKey,SurveyKey,SurveyName,SampleKey,StartDate",llm,2025-11-17T05:53:41.864340
UK_CSV0000000000002476,DateType,DateTy,"RecordKey,SurveyKey,SurveyName,SampleKey,StartDate",llm,2025-11-17T05:53:42.863917
SG_CSV0000000000000042,entity_name,entity,"issuance_agency_id,uen,entity_name,entity_type_description,company_type_description",llm,2025-11-17T05:53:43.863907
SG_CSV0000000000000042,zip_code,ZIP_CODE,"issuance_agency_id,uen,entity_name,entity_type_description,company_type_description",llm,2025-11-17T05:53:44.874609
SG_CSV0000000000000042,street_name,street,"issuance_agency_id,uen,entity_name,entity_type_description,company_type_description",llm,2025-11-17T05:53:45.865447
UK_CSV0000000000000964__0,Service_Type_Other_Details,Servic,"Variation Number,Reg_No,Service_Type_Other_Details,Subsidies_Description,via",llm,2025-11-17T05:53:46.868000
UK_CSV0000000000000964__0,reg_code,REG_CODE,"Variation Number,Reg_No,Service_Type_Other_Details,Subsidies_Description,via",llm,2025-11-17T05:53:47.868367
UK_CSV0000000000000964__0,Subsidies_Description,subsidies__description,"Variation Number,Reg_No,Service_Type_Other_Details,Subsidies_Description,via",llm,2025-11-17T05:53:48.867417
SG_CSV0000000000000925__13,participant_id,PARTICIPANT_ID,"ban_occupation_status5,ban_occupation_status2,ban_q18_q191,occstatus,ban_occupation_status4",llm,2025-11-17T05:53:49.867115
SG_CSV0000000000000925__13,occstatus,OCCSTATUS,"ban_occupation_status5,ban_occupation_status2,ban_q18_q191,occstatus,ban_occupation_status4",llm,2025-11-17T05:53:50.866628
SG_CSV0000000000000925__13,sliderliberty_1_slice,sliderliberty-1-slice,"ban_occupation_status5,ban_occupation_status2,ban_q18_q191,occstatus,ban_occupation_status4",llm,2025-11-17T05:53:51.870272
SG_CSV0000000000000048__7,postal_code,postal,"uen_issue_date,primary_ssic_code,issuance_agency_id,secondary_ssic_code,street_name",llm,2025-11-17T05:53:52.867850
SG_CSV0000000000000048__7,street_name,STREET_NAME,"uen_issue_date,primary_ssic_code,issuance_agency_id,secondary_ssic_code,street_name",llm,2025-11-17T05:53:53.877015
SG_CSV0000000000000048__7,primary_ssic_code,PRIMARY_SSIC_CODE,"uen_issue_date,primary_ssic_code,issuance_agency_id,secondary_ssic_code,street_name",llm,2025-11-17T05:53:54.872698
UK_CSV0000000000005854__21,% with accommodation status recorded,% WITH ACCOMMODATION STATUS RECORDED,"CPA reviews,% people subject to MHA,% contacts DNA,Month,Bed days",llm,2025-11-17T05:53:55.874205
UK_CSV0000000000005854__21,People with ethnicity recorded,People with ethnicity recorded,"CPA reviews,% people subject to MHA,% contacts DNA,Month,Bed days",llm,2025-11-17T05:53:56.872214
UK_CSV0000000000005854__21,Provider Name,provider Name,"CPA reviews,% people subject to MHA,% contacts DNA,Month,Bed days",llm,2025-11-17T05:53:57.877444
UK_CSV0000000000011359__10,Organisation Name,organisation Name,"Length of stay grouped,Legal Status,Reporting level,Reporting level2,Time to planned transfer grouped",llm,2025-11-17T05:53:58.878503
UK_CSV0000000000011359__10,Ethnicity,Ethnic,"Length of stay grouped,Legal Status,Reporting level,Reporting level2,Time to planned transfer grouped",llm,2025-11-17T05:53:59.874125
UK_CSV0000000000011359__10,Legal Status,Legal,"Length of stay grouped,Legal Status,Reporting level,Reporting level2,Time to planned transfer grouped",llm,2025-11-17T05:54:01.501250
SG_CSV0000000000001714__39,yearbornin_1_slice1,yearbo,"country,q20_q214,yearbornin_1_slice1,hhi,ban_q18_q192",llm,2025-11-17T05:54:01.873278
SG_CSV0000000000001714__39,hhi,hhi,"country,q20_q214,yearbornin_1_slice1,hhi,ban_q18_q192",llm,2025-11-17T05:54:02.875315
SG_CSV0000000000001714__39,q20_q214,q20_q2,"country,q20_q214,yearbornin_1_slice1,hhi,ban_q18_q192",llm,2025-11-17T05:54:03.889693
UK_CSV0000000000003896__17,Varicose Vein AVVQ Post-Op Q Predicted,Varico,"Varicose Vein Pre-Op Q Right Ulcer,Pre-Op Q Mobility,Varicose Vein Pre-Op Q Score,Varicose Vein Post-Op Q Swelling,Varicose Vein Pre-Op Q Left Back Count",llm,2025-11-17T05:54:04.882171
UK_CSV0000000000003896__17,Varicose Vein Pre-Op Q Score,varicose _vein _pre-_op _q _score,"Varicose Vein Pre-Op Q Right Ulcer,Pre-Op Q Mobility,Varicose Vein Pre-Op Q Score,Varicose Vein Post-Op Q Swelling,Varicose Vein Pre-Op Q Left Back Count",llm,2025-11-17T05:54:05.879129
UK_CSV0000000000003896__17,Varicose Vein EQ5D Index Post-Op Q Predicted,varicose Vein EQ5D Index Post-Op Q Predicted,"Varicose Vein Pre-Op Q Right Ulcer,Pre-Op Q Mobility,Varicose Vein Pre-Op Q Score,Varicose Vein Post-Op Q Swelling,Varicose Vein Pre-Op Q Left Back Count",llm,2025-11-17T05:54:06.877472
UK_CSV0000000000008873,Crime ID,crime ID,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:54:07.883657
UK_CSV0000000000008873,LSOA code,LSOA c,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:54:08.878030
UK_CSV0000000000008873,LSOA name,l_s_o_a name,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:54:09.878967
UK_CSV0000000000006676__9,Provider Code,provider _code,"Revision Flag,Pre-Op Q Living Arrangements,Post-Op Q Sucess,Pre-Op Q EQ VAS,Hip Replacement Post-Op Q Transport",llm,2025-11-17T05:54:10.878796
UK_CSV0000000000006676__9,Kidney Disease,Kidney,"Revision Flag,Pre-Op Q Living Arrangements,Post-Op Q Sucess,Pre-Op Q EQ VAS,Hip Replacement Post-Op Q Transport",llm,2025-11-17T05:54:11.911280
UK_CSV0000000000006676__9,Hip Replacement EQ VAS Post-Op Q Predicted,Hip Re,"Revision Flag,Pre-Op Q Living Arrangements,Post-Op Q Sucess,Pre-Op Q EQ VAS,Hip Replacement Post-Op Q Transport",llm,2025-11-17T05:54:12.878648
UK_CSV0000000000007227,ITEM_UID,ITEMID,"ITEM_UID,ITEM_TYPE_UID,EASTING,NORTHING,ITEM_IDENTITY_CODE",llm,2025-11-17T05:54:13.907753
UK_CSV0000000000007227,FAMILY_UID,family_uid,"ITEM_UID,ITEM_TYPE_UID,EASTING,NORTHING,ITEM_IDENTITY_CODE",llm,2025-11-17T05:54:14.883259
UK_CSV0000000000007227,CULVERT_UID,CULVID,"ITEM_UID,ITEM_TYPE_UID,EASTING,NORTHING,ITEM_IDENTITY_CODE",llm,2025-11-17T05:54:15.882622
SG_CSV0000000000001007,article_id,articl,"newspaper_title,issue_id,issue_date,edition,page_id",llm,2025-11-17T05:54:16.882897
SG_CSV0000000000001007,page_id,page-id,"newspaper_title,issue_id,issue_date,edition,page_id",llm,2025-11-17T05:54:17.889461
SG_CSV0000000000001007,issue_id,issue-id,"newspaper_title,issue_id,issue_date,edition,page_id",llm,2025-11-17T05:54:18.886216
UK_CSV0000000000002183__20,Region,Region,"rural_weight,MarketClass,Upload - 24 min(ave),YouTubeHD24hr,Geography",llm,2025-11-17T05:54:19.980819
UK_CSV0000000000002183__20,MarketClass,marketClass,"rural_weight,MarketClass,Upload - 24 min(ave),YouTubeHD24hr,Geography",llm,2025-11-17T05:54:20.912683
UK_CSV0000000000002183__20,Download - 19-20pm,Download - 19-20pm,"rural_weight,MarketClass,Upload - 24 min(ave),YouTubeHD24hr,Geography",llm,2025-11-17T05:54:21.895260
SG_CSV0000000000000045,entity_name,entity-name,"issuance_agency_id,uen,entity_name,entity_type_description,entity_status_description",llm,2025-11-17T05:54:22.893766
SG_CSV0000000000000045,postal_code,postal-code,"issuance_agency_id,uen,entity_name,entity_type_description,entity_status_description",llm,2025-11-17T05:54:23.893185
SG_CSV0000000000000045,street_name,street-name,"issuance_agency_id,uen,entity_name,entity_type_description,entity_status_description",llm,2025-11-17T05:54:24.889476
UK_CSV0000000000009000__5,Kidney Disease,Kidney,"Knee Replacement Post-Op Q Rating,Gender,Diabetes,Post-Op Q Further Surgery,Pre-Op Q EQ5D Index Profile",llm,2025-11-17T05:54:25.889698
UK_CSV0000000000009000__5,Pre-Op Q EQ5D Index Profile,pre-_op _q _e_q5_d _index _profile,"Knee Replacement Post-Op Q Rating,Gender,Diabetes,Post-Op Q Further Surgery,Pre-Op Q EQ5D Index Profile",llm,2025-11-17T05:54:26.893046
UK_CSV0000000000009000__5,Knee Replacement Post-Op Q Rating,Knee R,"Knee Replacement Post-Op Q Rating,Gender,Diabetes,Post-Op Q Further Surgery,Pre-Op Q EQ5D Index Profile",llm,2025-11-17T05:54:27.890477
UK_CSV0000000000003467__23,unit_id,unit-id,"Peak - Netflix UHD,24 hour - iPlayer SD,Peak average minimum speed upload,24 hour DNS,Peak- Youtube Start-up delay",llm,2025-11-17T05:54:28.892318
UK_CSV0000000000003467__23,Region,Region,"Peak - Netflix UHD,24 hour - iPlayer SD,Peak average minimum speed upload,24 hour DNS,Peak- Youtube Start-up delay",llm,2025-11-17T05:54:29.890208
UK_CSV0000000000003467__23,Country,Countr,"Peak - Netflix UHD,24 hour - iPlayer SD,Peak average minimum speed upload,24 hour DNS,Peak- Youtube Start-up delay",llm,2025-11-17T05:54:30.890065
SG_CSV0000000000000160,avg_days_per_absentee,avg-days-per-absentee,"year,sick_leave,avg_days_per_absentee,avg_days_per_employee",llm,2025-11-17T05:54:31.894098
SG_CSV0000000000000160,avg_days_per_employee,avg-days-per-employee,"year,sick_leave,avg_days_per_absentee,avg_days_per_employee",llm,2025-11-17T05:54:32.897737
SG_CSV0000000000000160,year,year,"year,sick_leave,avg_days_per_absentee,avg_days_per_employee",llm,2025-11-17T05:54:33.927779
SG_CSV0000000000000925__47,highestlevel,highestlevel,"ban_q30_4,vbc,ban_q28,md_segment,socialnetwork_dp10",llm,2025-11-17T05:54:34.895097
SG_CSV0000000000000925__47,md_segment,md-segment,"ban_q30_4,vbc,ban_q28,md_segment,socialnetwork_dp10",llm,2025-11-17T05:54:35.897115
SG_CSV0000000000000925__47,vbc,VBC,"ban_q30_4,vbc,ban_q28,md_segment,socialnetwork_dp10",llm,2025-11-17T05:54:36.916775
UK_CSV0000000000003896__21,Varicose Vein Pre-Op Q Score,Varico,"Varicose Vein Post-Op Q Left Support,Post-Op Q Anxiety,Pre-Op Q Discomfort,Varicose Vein Post-Op Q Right Pain Days,Varicose Vein Pre-Op Q Score",llm,2025-11-17T05:54:37.896367
UK_CSV0000000000003896__21,Pre-Op Q EQ5D Index Profile,pre-_op _q _e_q5_d _index _profile,"Varicose Vein Post-Op Q Left Support,Post-Op Q Anxiety,Pre-Op Q Discomfort,Varicose Vein Post-Op Q Right Pain Days,Varicose Vein Pre-Op Q Score",llm,2025-11-17T05:54:38.899104
UK_CSV0000000000003896__21,Post-Op Q EQ5D Index Profile,Post-O,"Varicose Vein Post-Op Q Left Support,Post-Op Q Anxiety,Pre-Op Q Discomfort,Varicose Vein Post-Op Q Right Pain Days,Varicose Vein Pre-Op Q Score",llm,2025-11-17T05:54:39.901806
SG_CSV0000000000000030__3,postal_code,postal,"postal_code,block,address_type,registration_incorporation_date,unit_no",llm,2025-11-17T05:54:40.901752
SG_CSV0000000000000030__3,registration_incorporation_date,regist,"postal_code,block,address_type,registration_incorporation_date,unit_no",llm,2025-11-17T05:54:41.900377
SG_CSV0000000000000030__3,block,block,"postal_code,block,address_type,registration_incorporation_date,unit_no",llm,2025-11-17T05:54:42.917669
UK_CSV0000000000002706__51,Region,Region,"Region,qc1_3_7,qg6,qd13_4,qd13_9",llm,2025-11-17T05:54:43.898903
UK_CSV0000000000002706__51,qb6,qb6,"Region,qc1_3_7,qg6,qd13_4,qd13_9",llm,2025-11-17T05:54:44.901492
UK_CSV0000000000002706__51,qd12_7,QD12_7,"Region,qc1_3_7,qg6,qd13_4,qd13_9",llm,2025-11-17T05:54:45.901564
UK_CSV0000000000003896__24,Varicose Vein Pre-Op Q Score,varicose Vein Pre-Op Q Score,"Varicose Vein Post-Op Q Left Support,Post-Op Q Anxiety,Pre-Op Q Discomfort,Varicose Vein Post-Op Q Right Pain Days,Varicose Vein Pre-Op Q Score",llm,2025-11-17T05:54:46.903224
UK_CSV0000000000003896__24,Pre-Op Q EQ5D Index Profile,pre-_op _q _e_q5_d _index _profile,"Varicose Vein Post-Op Q Left Support,Post-Op Q Anxiety,Pre-Op Q Discomfort,Varicose Vein Post-Op Q Right Pain Days,Varicose Vein Pre-Op Q Score",llm,2025-11-17T05:54:47.905989
UK_CSV0000000000003896__24,Post-Op Q EQ5D Index Profile,Post-O,"Varicose Vein Post-Op Q Left Support,Post-Op Q Anxiety,Pre-Op Q Discomfort,Varicose Vein Post-Op Q Right Pain Days,Varicose Vein Pre-Op Q Score",llm,2025-11-17T05:54:48.906637
UK_CSV0000000000005854__13,People with ethnicity recorded,people with ethnicity recorded,"Cluster episodes ended,Reviews with little change,Initial cluster assignments,% with CPA review,MEAN days to initial cluster assignment",llm,2025-11-17T05:54:49.907724
UK_CSV0000000000005854__13,People with accommodation status recorded,People with accommodation status recorded,"Cluster episodes ended,Reviews with little change,Initial cluster assignments,% with CPA review,MEAN days to initial cluster assignment",llm,2025-11-17T05:54:50.908832
UK_CSV0000000000005854__13,CCG Code,CCG Co,"Cluster episodes ended,Reviews with little change,Initial cluster assignments,% with CPA review,MEAN days to initial cluster assignment",llm,2025-11-17T05:54:51.909667
UK_CSV0000000000005605__16,COUNCIL_TAX_BAND,council_tax_band,"COUNCIL_TAX_BAND,Econs2009,Gcons2013,ElecValFlag2016,Gcons2011",llm,2025-11-17T05:54:52.909234
UK_CSV0000000000005605__16,ElecValFlag2016,elec_val_flag2016,"COUNCIL_TAX_BAND,Econs2009,Gcons2013,ElecValFlag2016,Gcons2011",llm,2025-11-17T05:54:53.909882
UK_CSV0000000000005605__16,ElecValFlag2005,ElecVa,"COUNCIL_TAX_BAND,Econs2009,Gcons2013,ElecValFlag2016,Gcons2011",llm,2025-11-17T05:54:54.911129
UK_CSV0000000000005605__5,PROP_TYPE,PROP_T,"GasValFlag2017,Gcons2019,GasValFlag2005,GasValFlag2015,Econs2008",llm,2025-11-17T05:54:55.909135
UK_CSV0000000000005605__5,ElecValFlag2010,elecValFlag2010,"GasValFlag2017,Gcons2019,GasValFlag2005,GasValFlag2015,Econs2008",llm,2025-11-17T05:54:56.913755
UK_CSV0000000000005605__5,ElecValFlag2009,ElecVa,"GasValFlag2017,Gcons2019,GasValFlag2005,GasValFlag2015,Econs2008",llm,2025-11-17T05:54:57.915448
UK_CSV0000000000006676__10,Provider Code,provider _code,"Revision Flag,Pre-Op Q Living Arrangements,Post-Op Q Sucess,Pre-Op Q EQ VAS,Hip Replacement Post-Op Q Transport",llm,2025-11-17T05:54:58.912965
UK_CSV0000000000006676__10,Hip Replacement EQ VAS Post-Op Q Predicted,Hip Re,"Revision Flag,Pre-Op Q Living Arrangements,Post-Op Q Sucess,Pre-Op Q EQ VAS,Hip Replacement Post-Op Q Transport",llm,2025-11-17T05:54:59.914799
UK_CSV0000000000006676__10,Post-Op Q EQ5D Index Profile,Post-O,"Revision Flag,Pre-Op Q Living Arrangements,Post-Op Q Sucess,Pre-Op Q EQ VAS,Hip Replacement Post-Op Q Transport",llm,2025-11-17T05:55:00.914448
UK_CSV0000000000000578,Crime ID,crime _i_d,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:55:01.918669
UK_CSV0000000000000578,LSOA code,lSOA code,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:55:02.913705
UK_CSV0000000000000578,LSOA name,lSOA name,"Crime ID,Month,Reported by,Falls within,Longitude",llm,2025-11-17T05:55:03.912298
UK_CSV0000000000007396__2,Knee Replacement Pre-Op Q Confidence,Knee R,"Knee Replacement Pre-Op Q Washing,Procedure,Knee Replacement EQ 5D Index Post-Op Q Predicted,Knee Replacement Pre-Op Q Confidence,Post-Op Q Discomfort",llm,2025-11-17T05:55:04.914672
